fired_at,pair,direction,entry,sl,tp1,tp2,rr_tp1,rr_tp2,sl_pips,zone_src,session,sweep_time
2026-05-20 00:15 UTC,USDJPY,short,159.07703,159.15096,158.96614,158.87739,1.5,2.7,7.4,BSL_2touch,Asian,2026-05-19 19:00 UTC
2026-05-20 00:15 UTC,XAUUSD,short,4531.39165,4545.72827,4509.88672,4476.89916,1.5,3.8,143.4,BSL_12touch,Asian,2026-05-19 19:00 UTC
2026-05-20 00:15 UTC,CADJPY,short,115.60821,115.73012,115.42534,115.3462,1.5,2.15,12.2,BSL_6touch,Asian,2026-05-19 19:00 UTC
2026-05-20 00:15 UTC,EURJPY,short,184.96993,185.09953,184.77553,184.64373,1.5,2.52,13.0,BSL_6touch,Asian,2026-05-19 19:00 UTC
2026-05-20 00:15 UTC,GBPJPY,short,213.32852,213.50176,213.06866,212.91296,1.5,2.4,17.3,BSL_3touch,Asian,2026-05-19 19:00 UTC
2026-05-20 06:00 UTC,GBPUSD,long,1.34047,1.33949,1.34194,1.3439,1.5,3.5,9.8,SSL_2touch,London,2026-05-19 23:00 UTC
2026-05-20 06:00 UTC,USDJPY,short,159.13417,159.25254,158.95661,158.79136,1.5,2.9,11.8,BSL_8touch,London,2026-05-19 23:00 UTC
2026-05-20 06:00 UTC,USDJPY,long,158.87333,158.7655,159.03508,159.12201,1.5,2.31,10.8,SSL_3touch,London,2026-05-20 03:00 UTC
2026-05-20 06:00 UTC,CADJPY,short,115.57887,115.67206,115.43908,115.37873,1.5,2.15,9.3,BSL_14touch,London,2026-05-19 23:00 UTC
2026-05-20 06:00 UTC,CADJPY,long,115.54677,115.44935,115.6929,115.77008,1.5,2.29,9.7,SSL_3touch,London,2026-05-20 03:00 UTC
2026-05-20 06:00 UTC,USDCAD,short,1.37667,1.37742,1.37555,1.37504,1.5,2.17,7.5,BSL_12touch,London,2026-05-19 23:00 UTC
2026-05-20 06:00 UTC,EURJPY,long,184.47919,184.32172,184.71539,184.85593,1.5,2.39,15.7,SSL_14touch,London,2026-05-20 03:00 UTC
2026-05-20 06:00 UTC,GBPJPY,long,212.91035,212.73975,213.16625,213.41046,1.5,2.93,17.1,SSL_6touch,London,2026-05-20 03:00 UTC
2026-05-20 07:00 UTC,USDCAD,short,1.37473,1.37535,1.3738,1.37329,1.5,2.32,6.2,BSL_2touch,London,2026-05-20 03:00 UTC
2026-05-20 10:00 UTC,USDCAD,long,1.37462,1.37402,1.37552,1.37605,1.5,2.38,6.0,SSL_14touch,London,2026-05-20 07:00 UTC
2026-05-20 10:15 UTC,USDJPY,long,158.87333,158.7655,159.03508,159.12201,1.5,2.31,10.8,SSL_3touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,CADJPY,long,115.54677,115.44935,115.6929,115.77008,1.5,2.29,9.7,SSL_3touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,EURJPY,long,184.47919,184.32172,184.71539,184.85593,1.5,2.39,15.7,SSL_14touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,GBPJPY,long,212.91035,212.73975,213.16625,213.41046,1.5,2.93,17.1,SSL_6touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,USDCAD,short,1.37473,1.37535,1.3738,1.37329,1.5,2.32,6.2,BSL_2touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,USDCAD,long,1.37462,1.37402,1.37552,1.37605,1.5,2.38,6.0,SSL_14touch,London,2026-05-20 07:00 UTC
2026-05-20 10:15 UTC,USDJPY,long,158.87333,158.7655,159.03508,159.12201,1.5,2.31,10.8,SSL_3touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,CADJPY,long,115.54677,115.44935,115.6929,115.77008,1.5,2.29,9.7,SSL_3touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,EURJPY,long,184.47919,184.32172,184.71539,184.85593,1.5,2.39,15.7,SSL_14touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,GBPJPY,long,212.91035,212.73975,213.16625,213.41046,1.5,2.93,17.1,SSL_6touch,London,2026-05-20 03:00 UTC
2026-05-20 10:15 UTC,USDCAD,short,1.37473,1.37535,1.3738,1.37329,1.5,2.32,6.2,BSL_2touch,London,2026-05-20 03:00 UTC
2026-05-21 08:15 UTC,XAUUSD,short,4542.35824,4546.24244,4536.53194,4528.85758,1.5,3.48,38.8,BSL_15touch,London,2026-05-21 08:00 UTC
2026-05-21 11:15 UTC,EURUSD,long,1.16309,1.16244,1.16406,1.16461,1.5,2.34,6.5,SSL_6touch,London,2026-05-21 11:00 UTC
2026-05-21 11:15 UTC,AUDJPY,long,113.5957,113.50869,113.72621,113.85677,1.5,3.0,8.7,SSL_6touch,London,2026-05-21 11:00 UTC
2026-05-21 11:15 UTC,XAUUSD,long,4552.41021,4540.12706,4570.83494,4593.46333,1.5,3.34,122.8,SSL_22touch,London,2026-05-21 11:00 UTC
2026-05-21 11:15 UTC,EURJPY,long,184.77085,184.69347,184.88692,184.9305,1.5,2.06,7.7,SSL_7touch,London,2026-05-21 11:00 UTC
